"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","@smoke @apitest API test scenatio","chromium","Wed Dec 10 13:41:13 IST 2025","passed","Wed Dec 10 13:41:13 IST 2025","","apitest.spec.ts","",""
"","8421","TC2 locked_out_user @smoke @Loginvalidation Login validation Test","chromium","Wed Dec 10 13:41:26 IST 2025","passed","Wed Dec 10 13:41:34 IST 2025","Login test","loginValidation.spec.ts","",""
"","102","@smoke @apitest url reponse check","chromium","Wed Dec 10 13:41:13 IST 2025","passed","Wed Dec 10 13:41:13 IST 2025","","apitest.spec.ts","",""
"","11662","TC1 standard_user Sauce Labs Onesie @smoke @placeorder Place order validation","chromium","Wed Dec 10 13:41:14 IST 2025","passed","Wed Dec 10 13:41:25 IST 2025","Place order test","placeOrder.spec.ts","",""
"","17482","TC2 performance_glitch_user Sauce Labs Bike Light @smoke @placeorder Place order validation","chromium","Wed Dec 10 13:41:27 IST 2025","passed","Wed Dec 10 13:41:44 IST 2025","Place order test","placeOrder.spec.ts","",""
"","10082","TC1 standard_user @smoke @Loginvalidation Login validation Test","chromium","Wed Dec 10 13:41:13 IST 2025","passed","Wed Dec 10 13:41:23 IST 2025","Login test","loginValidation.spec.ts","",""
